iter	Passed	Remaining
521	600	550
522	602	549
523	603	547
524	604	546
525	605	545
526	606	543
527	607	542
528	608	541
529	609	540
530	610	539
531	611	538
532	612	537
533	614	535
534	615	534
535	616	533
536	617	532
537	618	531
538	619	529
539	620	528
540	621	527
541	622	526
542	623	525
543	624	523
544	626	522
545	627	521
546	628	520
547	629	519
548	630	517
549	631	516
550	632	515
551	633	514
552	635	513
553	636	512
554	637	511
555	638	510
556	639	508
557	641	507
558	642	506
559	643	505
560	644	504
561	646	503
562	647	502
563	649	501
564	650	500
565	651	499
566	652	498
567	653	497
568	654	495
569	655	494
570	656	493
571	657	492
572	658	490
573	659	489
574	660	488
575	662	487
576	663	486
577	664	484
578	665	483
579	666	482
580	667	481
581	668	480
582	669	478
583	670	477
584	671	476
585	672	475
586	673	473
587	674	472
588	675	471
589	676	470
590	677	469
591	678	467
592	679	466
593	681	465
594	682	464
595	683	463
596	684	461
597	685	460
598	686	459
599	687	458
600	688	456
601	689	455
602	690	454
603	691	453
604	692	452
605	693	451
606	694	449
607	695	448
608	697	447
609	698	446
610	699	445
611	700	444
612	701	442
613	702	441
614	703	440
615	704	439
616	705	438
617	706	436
618	707	435
619	708	434
620	709	433
621	711	432
622	712	431
623	713	429
624	714	428
625	715	427
626	716	426
627	718	425
628	719	424
629	720	422
630	721	421
631	722	420
632	723	419
633	724	418
634	725	417
635	726	415
636	727	414
637	728	413
638	729	412
639	730	411
640	732	409
641	733	408
642	734	407
643	735	406
644	736	405
645	737	404
646	738	403
647	739	401
648	741	400
649	742	399
650	743	398
651	744	397
652	745	396
653	746	394
654	747	393
655	748	392
656	749	391
657	750	390
658	751	388
659	752	387
660	753	386
661	754	385
662	756	384
663	757	383
664	758	381
665	759	380
666	760	379
667	761	378
668	762	377
669	763	375
670	764	374
671	765	373
672	766	372
673	767	371
674	768	370
675	769	368
676	770	367
677	771	366
678	772	365
679	774	364
680	775	363
681	776	361
682	777	360
683	778	359
684	779	358
685	780	357
686	781	356
687	782	355
688	783	353
689	785	352
690	786	351
691	787	350
692	788	349
693	789	348
694	790	346
695	791	345
696	792	344
697	793	343
698	794	342
699	795	340
700	796	339
701	797	338
702	798	337
703	799	336
704	800	335
705	801	333
706	802	332
707	804	331
708	805	330
709	806	329
710	807	328
711	808	327
712	809	325
713	810	324
714	811	323
715	812	322
716	813	321
717	815	320
718	816	318
719	817	317
720	818	316
721	819	315
722	820	314
723	821	313
724	822	312
725	823	310
726	824	309
727	825	308
728	827	307
729	828	306
730	829	305
731	830	303
732	831	302
733	832	301
734	833	300
735	834	299
736	835	298
737	836	297
738	837	295
739	839	294
740	840	293
741	841	292
742	842	291
743	843	290
744	844	288
745	845	287
746	846	286
747	847	285
748	848	284
749	849	283
750	850	282
751	851	280
752	852	279
753	854	278
754	855	277
755	856	276
756	857	275
757	858	274
758	859	272
759	860	271
760	861	270
761	862	269
762	863	268
763	864	267
764	865	265
765	866	264
766	867	263
767	868	262
768	869	261
769	870	260
770	872	259
771	873	257
772	874	256
773	875	255
774	876	254
775	877	253
776	878	252
777	879	250
778	880	249
779	881	248
780	882	247
781	883	246
782	884	245
783	885	244
784	886	242
785	888	241
786	889	240
787	890	239
788	891	238
789	892	237
790	893	236
791	894	234
792	895	233
793	897	232
794	898	231
795	899	230
796	900	229
797	901	228
798	902	227
799	903	225
800	904	224
801	905	223
802	906	222
803	907	221
804	908	220
805	909	219
806	910	217
807	911	216
808	913	215
809	914	214
810	915	213
811	916	212
812	917	211
813	918	209
814	919	208
815	920	207
816	921	206
817	922	205
818	923	204
819	924	202
820	925	201
821	926	200
822	927	199
823	928	198
824	930	197
825	931	196
826	932	195
827	933	193
828	934	192
829	935	191
830	936	190
831	937	189
832	938	188
833	939	187
834	941	185
835	942	184
836	943	183
837	945	182
838	947	181
839	948	180
840	950	179
841	951	178
842	952	177
843	954	176
844	955	175
845	956	174
846	958	173
847	959	172
848	961	170
849	962	169
850	964	168
851	965	167
852	966	166
853	968	165
854	969	164
855	970	163
856	972	162
857	973	161
858	974	160
859	976	158
860	978	158
861	980	156
862	981	155
863	982	154
864	983	153
865	984	152
866	986	151
867	987	150
868	988	149
869	989	147
870	990	146
871	992	145
872	993	144
873	994	143
874	995	142
875	997	141
876	998	140
877	999	138
878	1000	137
879	1001	136
880	1002	135
881	1004	134
882	1005	133
883	1006	132
884	1007	130
885	1008	129
886	1010	128
887	1011	127
888	1012	126
889	1014	125
890	1015	124
891	1016	123
892	1017	121
893	1018	120
894	1020	119
895	1021	118
896	1022	117
897	1023	116
898	1024	115
899	1026	114
900	1027	112
901	1028	111
902	1029	110
903	1030	109
904	1031	108
905	1033	107
906	1034	106
907	1035	104
908	1036	103
909	1037	102
910	1039	101
911	1040	100
912	1041	99
913	1042	98
914	1044	97
915	1045	95
916	1046	94
917	1047	93
918	1049	92
919	1050	91
920	1051	90
921	1052	89
922	1053	87
923	1055	86
924	1056	85
925	1057	84
926	1058	83
927	1060	82
928	1061	81
929	1062	79
930	1063	78
931	1065	77
932	1066	76
933	1067	75
934	1068	74
935	1069	73
936	1070	72
937	1072	70
938	1073	69
939	1074	68
940	1075	67
941	1077	66
942	1078	65
943	1080	64
944	1081	62
945	1082	61
946	1083	60
947	1084	59
948	1086	58
949	1087	57
950	1088	56
951	1089	54
952	1091	53
953	1092	52
954	1093	51
955	1094	50
956	1096	49
957	1097	48
958	1098	46
959	1099	45
960	1101	44
961	1102	43
962	1103	42
963	1105	41
964	1106	40
965	1107	38
966	1108	37
967	1110	36
968	1111	35
969	1112	34
970	1114	33
971	1115	32
972	1116	30
973	1118	29
974	1120	28
975	1121	27
976	1122	26
977	1124	25
978	1125	24
979	1127	23
980	1128	21
981	1130	20
982	1132	19
983	1134	18
984	1136	17
985	1137	16
986	1139	15
987	1141	13
988	1142	12
989	1144	11
990	1145	10
991	1146	9
992	1149	8
993	1154	6
994	1157	5
995	1160	4
996	1162	3
997	1164	2
998	1166	1
999	1168	0
