iter	RMSE
192	1.931124518
193	1.926094989
194	1.923791866
195	1.921743333
196	1.919666381
197	1.913753261
198	1.905109391
199	1.899601728
200	1.893452599
201	1.884560504
202	1.874740542
203	1.871975203
204	1.86456294
205	1.857145341
206	1.851827086
207	1.843621516
208	1.837119883
209	1.834592503
210	1.832258917
211	1.823357279
212	1.816471168
213	1.814156683
214	1.80692611
215	1.801427854
216	1.794327248
217	1.789968096
218	1.784557359
219	1.778125112
220	1.772884605
221	1.766108881
222	1.762260463
223	1.756395497
224	1.75431406
225	1.749249674
226	1.739981389
227	1.735137012
228	1.733110139
229	1.727740291
230	1.725741179
231	1.717951028
232	1.709725622
233	1.7036535
234	1.697279434
235	1.6911412
236	1.687469133
237	1.685541215
238	1.67910173
239	1.672613118
240	1.666220171
241	1.660269405
242	1.653399291
243	1.647368815
244	1.642467852
245	1.640644008
246	1.63254105
247	1.626653954
248	1.624981032
249	1.620069456
250	1.613052937
251	1.605943224
252	1.600734016
253	1.59416266
254	1.592479557
255	1.587184592
256	1.585551042
257	1.583948263
258	1.577412416
259	1.57012488
260	1.565304938
261	1.56373188
262	1.562255716
263	1.56072898
264	1.55565027
265	1.549427929
266	1.543472099
267	1.541906587
268	1.536930419
269	1.531285415
270	1.526158722
271	1.522556548
272	1.516318386
273	1.510134174
274	1.506987003
275	1.502558205
276	1.501118489
277	1.499581379
278	1.494173372
279	1.492744802
280	1.487693453
281	1.481186412
282	1.479740267
283	1.478387197
284	1.477017281
285	1.475656302
286	1.474235988
287	1.466575286
288	1.460677787
289	1.458781073
290	1.457407127
291	1.456080331
292	1.449942567
293	1.444748526
294	1.438238214
295	1.434014108
296	1.432818737
297	1.429134965
298	1.423266141
299	1.421958505
300	1.420809221
301	1.415220282
302	1.413944993
303	1.412165201
304	1.410935189
305	1.409193814
306	1.401539929
307	1.394111266
308	1.388450397
309	1.383930728
310	1.38271103
311	1.378420792
312	1.377246681
313	1.370678288
314	1.365174964
315	1.364069989
316	1.363024249
317	1.358259223
318	1.353586397
319	1.348046261
320	1.346400874
321	1.341838878
322	1.340342218
323	1.335066065
324	1.33395919
325	1.329500584
326	1.32403254
327	1.322951532
328	1.321443691
329	1.320378131
330	1.318811755
331	1.317102877
332	1.313261674
333	1.30721343
334	1.306200163
335	1.305144662
336	1.299261023
337	1.293953192
338	1.292428895
339	1.291140254
340	1.290163362
341	1.28736607
342	1.284090387
343	1.283044001
344	1.279135293
345	1.278148155
346	1.271902542
347	1.268378893
348	1.267371653
349	1.265875451
350	1.260678012
351	1.256191485
352	1.25518729
353	1.250944207
354	1.249496185
355	1.244999383
356	1.244033463
357	1.243147829
358	1.237688449
359	1.233917808
360	1.23249657
361	1.231608731
362	1.227054112
363	1.226147394
364	1.224584134
365	1.222505162
366	1.221632415
367	1.21860173
368	1.217699859
369	1.214231239
370	1.213378805
371	1.209852509
372	1.206768726
373	1.202400897
374	1.201573163
375	1.200674158
376	1.199765642
377	1.198990489
378	1.194584926
379	1.18861322
380	1.187714281
381	1.186878733
382	1.181414851
383	1.179005757
384	1.175920882
385	1.174516265
386	1.170122901
387	1.169316429
388	1.168506963
389	1.167298538
390	1.164812444
391	1.164011038
392	1.162713391
393	1.161935107
394	1.161223908
395	1.1575456
396	1.15322463
397	1.151971038
398	1.148678417
399	1.146152611
400	1.141959501
401	1.140902983
402	1.140090876
403	1.135384145
404	1.132086927
405	1.129001001
406	1.124787594
407	1.123986349
408	1.12059385
409	1.119847029
410	1.119049207
411	1.116157575
412	1.115447051
413	1.11475868
414	1.112618984
415	1.111843601
416	1.110605568
417	1.108039165
418	1.106741858
419	1.103649027
420	1.100607292
421	1.099896724
422	1.098678612
423	1.0979262
424	1.096899407
425	1.096217875
426	1.095527288
427	1.092341146
428	1.090592539
429	1.089936915
430	1.086974947
431	1.085948386
432	1.082400628
433	1.081782012
434	1.080579315
435	1.077176314
436	1.076494327
437	1.073627144
438	1.070039443
439	1.068127724
440	1.066950649
441	1.066311415
442	1.062693387
443	1.05916054
444	1.056228883
445	1.055350119
446	1.053596357
447	1.052901569
448	1.049962745
449	1.046743793
450	1.044463246
451	1.043824945
452	1.043147671
453	1.04060707
454	1.039983404
455	1.039364344
456	1.038255096
457	1.036508718
458	1.035896339
459	1.032967662
460	1.032313875
461	1.029282911
462	1.02551279
463	1.024400435
464	1.02353965
465	1.022476853
466	1.021927504
467	1.019026178
468	1.017969116
469	1.014378969
470	1.011024112
471	1.009038581
472	1.007132394
473	1.006495965
474	1.002925898
475	0.9996201017
476	0.9971004288
477	0.9944039715
478	0.9934019348
479	0.9910067454
480	0.9880905175
481	0.9875158201
482	0.9839012257
483	0.9829740388
484	0.9798745995
485	0.9776433834
486	0.9770319946
487	0.9731500175
488	0.9726230022
489	0.9717641906
490	0.9679260893
491	0.966207757
492	0.9631088474
493	0.9598716731
494	0.9567672502
495	0.9557330106
496	0.9533471304
497	0.9527573583
498	0.9492866404
499	0.9486332352
500	0.9481343973
501	0.9454939812
502	0.9449910582
503	0.9444435431
504	0.9438658333
505	0.941102592
506	0.9405282848
507	0.9374930512
508	0.9370068442
509	0.9364440095
510	0.9338659625
511	0.9317088601
512	0.9292364772
513	0.928722434
514	0.9282029044
515	0.9253899307
516	0.9248732933
517	0.9234030925
518	0.9212624646
519	0.9207132185
520	0.9200814991
521	0.9184031619
522	0.9163696272
523	0.914180499
524	0.9105778786
525	0.9100415374
526	0.909511241
527	0.9085173744
528	0.9047486128
529	0.9042396798
530	0.9037368576
531	0.9023549418
532	0.9014263238
533	0.8986451267
534	0.8980335702
535	0.8958807798
536	0.8954182076
537	0.8949708012
538	0.8942948091
539	0.8924563979
540	0.8905843854
541	0.8901297356
542	0.8875221684
543	0.8856739084
544	0.885172349
545	0.8826390138
546	0.8820551124
547	0.8791846635
548	0.8782842754
549	0.8750403236
550	0.8745712778
551	0.8716605487
552	0.8706780742
553	0.8702418077
554	0.8680637166
555	0.8648542412
556	0.8643265979
557	0.8626281331
558	0.8601637639
559	0.8590850296
560	0.8565997803
561	0.8558423555
562	0.8553922758
563	0.8549169938
564	0.8524298269
565	0.8504453552
566	0.849776672
567	0.8470389329
568	0.8465866209
569	0.8461189051
570	0.8449357102
571	0.8425281447
572	0.841713898
573	0.8384878943
574	0.8380245254
575	0.8376025804
576	0.8356711843
577	0.8350135283
578	0.8345714593
579	0.8341738958
580	0.8329107659
581	0.8324807443
582	0.8314052796
583	0.8299430442
584	0.8262060001
585	0.8254226638
586	0.8250120651
587	0.8214362216
588	0.8209944954
589	0.8205628959
590	0.8202162869
591	0.8176202768
592	0.816766114
593	0.8144052532
594	0.8136066642
595	0.8126723878
596	0.8110369851
597	0.8106062163
598	0.807911293
599	0.8072981523
600	0.8048662779
601	0.8042890155
602	0.8020628364
603	0.8010960775
604	0.8006780929
605	0.7984087533
606	0.7980232481
607	0.7976288903
608	0.7972509139
609	0.7968372454
610	0.796471665
611	0.7960707941
612	0.79469324
613	0.7928335244
614	0.792433938
615	0.7916504118
616	0.7891813622
617	0.7887769225
618	0.7853890881
619	0.7850664387
620	0.7842817389
621	0.7833936647
622	0.7811873792
623	0.780819483
624	0.7786133959
625	0.7778511006
626	0.7756065252
627	0.775249378
628	0.7745286984
629	0.7741419549
630	0.7714070478
631	0.7710481532
632	0.7688814687
633	0.7662078328
634	0.7643787613
635	0.7625109107
636	0.7590904569
637	0.7587436342
638	0.7563639962
639	0.7560194397
640	0.7543742534
641	0.7528321273
642	0.7506914599
643	0.7485211086
644	0.746469322
645	0.745018843
646	0.7444399307
647	0.7429499986
648	0.7413553239
649	0.7409872739
650	0.7391259531
651	0.7376968345
652	0.7373491537
653	0.736170721
654	0.7337075584
655	0.7315552951
656	0.7308507345
657	0.7290397764
658	0.7268259819
659	0.7242352197
660	0.7231096748
661	0.7205949381
662	0.7202633523
663	0.7183808408
664	0.7180543577
665	0.7177141137
666	0.7172875769
667	0.7169129361
668	0.7165970715
669	0.7161634112
670	0.7143761462
671	0.7138268916
672	0.7133465263
673	0.7125536769
674	0.7120927247
675	0.7097980303
676	0.7094771239
677	0.707459923
678	0.7067249596
679	0.7044548415
680	0.703472057
681	0.700831975
682	0.7004817107
683	0.7001380754
684	0.6998030867
685	0.6994943116
686	0.6991643294
687	0.6975845201
688	0.6972567714
689	0.696951876
690	0.696339556
691	0.696009636
692	0.6956160313
693	0.6951503291
694	0.6930169235
695	0.690926659
696	0.6889898604
697	0.688192452
698	0.6875301308
699	0.68719826
700	0.6859342085
701	0.6843525952
702	0.6819025223
703	0.6815986619
704	0.6813004254
705	0.6801332384
706	0.6794447372
707	0.6772712845
708	0.6769702832
709	0.6750071723
710	0.6746929087
711	0.6743045677
712	0.6738975843
713	0.6720343662
714	0.6717251907
715	0.6714188384
716	0.6710648877
717	0.6701630875
718	0.669882176
719	0.6685126448
720	0.6664087641
721	0.6649871288
722	0.6646818775
723	0.6640591467
724	0.6626356277
725	0.6615536759
726	0.6600425865
727	0.6579693268
728	0.6576840072
729	0.6558722186
730	0.6555706136
731	0.6552723201
732	0.6549774716
733	0.6546917249
734	0.6529901009
735	0.6519092149
736	0.6510792418
737	0.6492569213
738	0.6480851184
739	0.6478070558
740	0.6474618961
741	0.6471540386
742	0.646152812
743	0.6458890396
744	0.6441486995
745	0.6425191837
746	0.6422340477
747	0.6419766231
748	0.6413168341
749	0.6397379478
750	0.6382087044
751	0.6359769625
752	0.6344754724
753	0.6331084743
754	0.6310931689
755	0.6287945926
756	0.6284983201
757	0.628170348
758	0.6279122029
759	0.6276272334
760	0.6259727607
761	0.6247196321
762	0.6241903713
763	0.6239248771
764	0.6236440578
765	0.6233980733
766	0.6221542404
767	0.6205785169
768	0.6203312418
769	0.6200773313
770	0.6179710158
771	0.6158516896
772	0.6149849412
773	0.6147252884
774	0.6144080876
775	0.6141328826
776	0.6138614913
777	0.6132651722
778	0.6118642968
779	0.6105643632
780	0.6103194396
781	0.6092913749
782	0.6081618928
783	0.6062241947
784	0.60439079
785	0.604028333
786	0.6037568632
787	0.6020661049
788	0.6012662942
789	0.6000395769
790	0.5993816978
791	0.5975743622
792	0.5973012097
793	0.5967956258
794	0.596551297
795	0.596309852
796	0.5960775055
797	0.5957543544
798	0.5938580882
799	0.5927013775
800	0.592448634
801	0.5922211622
802	0.5916514071
803	0.590125832
804	0.5898118405
805	0.5894864199
806	0.5884179785
807	0.5871683915
808	0.5869231991
809	0.5866939029
810	0.5860297089
811	0.5858262708
812	0.5845250165
813	0.584285112
814	0.583313208
815	0.5830656194
816	0.5818128513
817	0.5808524139
818	0.5791280346
819	0.5772526536
820	0.5770525244
821	0.5764476657
822	0.5743164022
823	0.5738056906
824	0.5735837891
825	0.5719900124
826	0.5712243874
827	0.5710049864
828	0.5707588438
829	0.5689715955
830	0.5687556615
831	0.568490479
832	0.5670659299
833	0.5653455952
834	0.5648813269
835	0.5646438916
836	0.5641857365
837	0.5622014979
838	0.5603921885
839	0.5586394454
840	0.5584215912
841	0.5577908995
842	0.5575861232
843	0.5558231844
844	0.554080682
845	0.5538965845
846	0.5520531685
847	0.5503644532
848	0.5501104092
849	0.5488643851
850	0.5486630698
851	0.5470803864
852	0.545529291
853	0.5441499692
854	0.5439197787
855	0.5418104849
856	0.5415909087
857	0.5406274134
858	0.5404255127
859	0.5389083522
860	0.5384336148
861	0.537009184
862	0.5354948585
863	0.5352701243
864	0.5350490483
865	0.5348546427
866	0.5346651046
867	0.5340364186
868	0.5336040843
869	0.5333880466
870	0.5328201903
871	0.5326129933
872	0.5324328724
873	0.531293546
874	0.5310334488
875	0.530107747
876	0.5288824831
877	0.5273600987
878	0.5261965511
879	0.5251236747
880	0.5236180736
881	0.5234106177
882	0.523218295
883	0.5229844941
884	0.5225132239
885	0.5207891159
886	0.519263173
887	0.5181973314
888	0.5164723497
889	0.5162598705
890	0.5159954985
891	0.5147776314
892	0.5134555965
893	0.5131618559
894	0.511430922
895	0.5112254395
896	0.5110290147
897	0.5100998689
898	0.5091154823
899	0.5077957182
900	0.5064782616
901	0.5062745617
902	0.5052563678
903	0.503448725
904	0.502434485
905	0.5022501403
906	0.5014387731
907	0.5001840102
908	0.5000006313
909	0.4998005282
910	0.498495178
911	0.4980942994
912	0.4979084797
913	0.4970749851
914	0.4957235561
915	0.4943661804
916	0.4940318152
917	0.493859616
918	0.4928764655
919	0.4926879909
920	0.4914557915
921	0.4902899178
922	0.4893462072
923	0.488207157
924	0.4867165586
925	0.4865402596
926	0.4848296674
927	0.4833407286
928	0.4831742908
929	0.4819723164
930	0.4818013025
931	0.4804784499
932	0.4800012296
933	0.4794163034
934	0.4792462704
935	0.4781991229
936	0.4780566111
937	0.4764500791
938	0.4759440717
939	0.4749780904
940	0.4748241472
941	0.473718872
942	0.4723809203
943	0.4722163901
944	0.4720258749
945	0.4714744875
946	0.471279307
947	0.4705025493
948	0.4693089449
949	0.4681795313
950	0.4666968152
951	0.46651086
952	0.4663717722
953	0.466199732
954	0.4657658971
955	0.4655830894
956	0.4648220178
957	0.46465858
958	0.4644148837
959	0.4642390632
960	0.4640976833
961	0.4639324241
962	0.4631944933
963	0.4630790593
964	0.4619593256
965	0.4613026739
966	0.4611632543
967	0.4609303836
968	0.4607081359
969	0.4605330989
970	0.4591983098
971	0.4590803001
972	0.4585613462
973	0.4573413385
974	0.45698372
975	0.4567679702
976	0.4557498146
977	0.455206623
978	0.454961525
979	0.4539238032
980	0.453780332
981	0.4536246002
982	0.4532456729
983	0.4530908797
984	0.4522606488
985	0.4516539456
986	0.4504541144
987	0.4492189906
988	0.4490860531
989	0.4482293131
990	0.4480484597
991	0.4478863166
992	0.4477258512
993	0.4468118639
994	0.4453023707
995	0.4451717994
996	0.4439768883
997	0.44268825
998	0.4425218313
999	0.4413458375
